Default,age,card_age,cashAmt_mean,cashAmt_non_null_months,cashCnt_mean,cashCnt_non_null_months,cashTotalAmt,cashTotalCnt,inCourt,isBlackList,isCrime,isDue,monthCardLargeAmt,noTransWeekPre,onlineTransAmt,onlineTransCnt,publicPayAmt,publicPayCnt,transAmt_mean,transAmt_non_null_months,transCnt_mean,transCnt_non_null_months,transTotalAmt,transTotalCnt,Default,maritalStatus_1,maritalStatus_2,maritalStatus_0,education_1,education_2,education_3,education_4,education_0,idVerify_0,idVerify_1,idVerify_2,threeVerify_1,threeVerify_2,threeVerify_0,Han_0,Han_1,netLength_1,netLength_2,netLength_3,netLength_4,netLength_0,sex_0,sex_1,sex_2,CityId_1,CityId_2,CityId_3,trans_total,total_withdraw,avg_per_withdraw,avg_per_online_spend,avg_per_public_spend,bad_record
0,38,2,0,0,0,0,0,0,0,0,0,0,0,0.87,-7710,2,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,-3855,0,0
0,39,19,0,0,0,0,0,0,0,0,0,0,400,0.87,700,3,0,0,180,5,1,5,900,5,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,180,0,0,233.333333,0,0
0,40,16,0,0,0,0,0,0,0,0,0,0,17250,0.46,-164560,39,770,2,2378.888889,9,0.333333333,9,21410,3,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,792.962962,0,0,-4219.487179,385,0
0,38,13,22000,1,6,1,22000,6,0,0,0,0,176800,0.69,12660,7,0,0,28008,10,1.5,10,280120,15,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,42012,132000,3666.666667,1808.571429,0,0
0,24,8,0,0,0,0,0,0,0,0,0,0,3720,0.83,-5260,15,4170,8,842,5,1.8,5,4220,9,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1515.6,0,0,-350.666667,521.25,0
0,22,9,2100,1,5,1,2100,5,0,0,0,0,600,0.87,-170,12,600,7,150,4,0.25,4,600,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,37.5,10500,420,-14.166667,85.714286,0
0,33,27,1800,5,3.2,5,9000,16,0,0,0,0,16980,0.52,20700,21,4970,3,3188.888889,9,2.666666667,9,28720,24,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,8503.703705,5760,562.5,985.714286,1656.666667,0
0,27,51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0,27,47,1533.333333,3,1.666666667,3,4600,5,0,0,0,0,299210,0.12,-55270,73,-187830,21,78453.33333,12,11.83333333,12,941510,147,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,928364.4441,2555.555556,920,-757.123288,-8944.285714,0
0,25,32,0,0,0,0,0,0,0,0,0,0,12140,0.9,-18350,6,11410,1,4046.666667,3,0.666666667,3,12140,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2697.777779,0,0,-3058.333333,11410,0
