user_id,total_transactions_cnt,total_transactions_amt,transfer_cnt,transfer_amt,transfer_mean,max_consume_amt,consume_order_ratio,business_travel_cnt,business_travel_amt,business_travel_avg_amt,public_pay_amt,mon_consume_frq,consumption_channel,online_cnt,online_amt,online_avg_amt,mon_online_frq,dining_cnt,dining_amt,dining_avg_amt,mon_business_travel_frq,car_cnt,car_amt,phone_fee_cnt,phone_fee_amt,credit_card_repay_amt,cash_advance_cnt,is_installment,credit_card_repay_cnt,cash_advance_amt,payroll,withdraw_cnt,withdraw_amt,total_deposit,total_withdraw,internet_media_cnt,internet_media_amt,return_cnt,online_buy_first_date,online_buy_last_date,high_consumption,43,recency,frequency,monetary
109464,629,180107.18,70,28376.53,405.379,10868,0.359300477,7,897,128.1428571,0,20.54545455,CreditCardPay,55,5148.45,93.60818182,6.111111111,64,2379.75,37.18359375,2.333333333,0,0,5,947.93,87,60480.8,0,0,0,0,6,996.8,0,0,1,9.9,45,2016/12/31 6:27,2017/8/18 17:02,0,0,85.21251157,226,44662.59
115043,783,270203.98,76,54580.61,718.1659211,8100,0.468710089,4,1385,346.25,0,21.58823529,AliPay,15,3613.85,240.9233333,2.5,28,1092,39,1,0,0,11,651.49,6,13837.38,1,0,0,0,15,10478.07,0,1500,0,0,13,2016/12/4 0:59,2017/9/30 16:00,0,0,41,367,92114.84
125322,538,2009921.3,40,509170,12729.25,100000,0.639405204,2,299,149.5,1391.1,21.5,AliPay,61,1762.31,28.89032787,6.1,0,0,0,2,0,0,4,948,21,34372.46,0,0,0,1,0,0,0,0,0,0,1,2016/8/29 16:00,2017/11/6 16:00,1,0,35,344,670721.81
131673,77,26839.34,5,4735.06,947.012,1991.54,0.87012987,0,0,0,0,9.571428571,AliPay,5,1083.7,216.74,1.666666667,0,0,0,0,0,0,0,0,8,4811.76,0,0,0,0,0,0,0,0,0,0,0,2017/7/18 16:00,2017/9/11 16:00,0,1,75,67,18161.48
136544,278,90871.72,5,15419,3083.8,2110,0.568345324,0,0,0,0,14.36363636,UnionPay,109,32638.83,299.4388073,9.909090909,4,562,140.5,0,0,0,13,606.46,4,7627.56,1,0,0,0,0,0,0,0,1,349.76,2,2016/12/31 1:56,2017/10/17 10:47,0,0,75,158,44836.38
138464,766,1919815.82,590,1204350.63,2041.272254,139970,0.125326371,0,0,0,0,6,AliPay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14300,19000,0,0,0,2012/12/31 16:00,2014/12/31 15:59,1,0,39,96,408514.36
139876,213,176482.39,26,12942.22,497.7776923,600,0.220657277,0,0,0,0,4.272727273,CreditCardPay,36,1236.92,34.35888889,4,3,187,62.33333333,0,0,0,7,82.01,20,66548.45,0,0,0,1,5,12870,0,1800,1,101.54,6,2017/1/3 14:51,2017/10/29 2:33,0,0,63.56016204,47,3485.33
150768,5,15747,0,0,0,7850,0.8,0,0,0,0,4,OthersPay,0,0,0,0,0,0,0,0,0,0,0,0,1,3940,0,0,0,0,0,0,0,0,0,0,0,2012/12/31 16:00,2014/12/31 15:59,0,1,93,4,11807
152341,118,53087.59,0,0,0,6088,0.728813559,0,0,0,0,7.818181818,AliPay,16,744.89,46.555625,4,0,0,0,0,0,0,1,25,18,5750.69,1,2,500,1,0,0,0,0,0,0,0,2017/7/11 16:00,2017/10/29 16:00,0,0,43,86,25599.07
158879,735,510874.87,22,30130.31,1369.559545,9040,0.414965986,18,4155.5,230.8611111,0,21.78571429,CreditCardPay,108,11413.54,105.6809259,9,2,176.8,88.4,2,0,0,69,4570.43,112,172747.14,1,0,0,1,0,0,0,5600,0,0,10,2016/12/30 16:44,2017/11/29 16:00,0,0,32,305,113886.49
159913,1,1518.34,0,0,0,0,0,0,0,0,0,0,OthersPay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012/12/31 16:00,2014/12/31 15:59,0,1,0,0,0
160011,294,69361.53,0,0,0,2532.14,0.802721088,0,0,0,0,18.15384615,AliPay,0,0,0,0,1,399,399,0,0,0,0,0,7,9761.54,0,0,0,0,0,0,0,0,0,0,20,2012/12/31 16:00,2014/12/31 15:59,0,0,76,236,33553.79
160299,76,18396.62,0,0,0,2000,0.815789474,3,466.5,155.5,0,6.2,OthersPay,0,0,0,0,1,8.8,8.8,3,0,0,1,200,9,6578,1,11,5100,0,0,0,0,0,0,0,0,2012/12/31 16:00,2014/12/31 15:59,0,1,30,62,8829.48
161194,266,123404.37,6,259.82,43.30333333,19997,0.515037594,0,0,0,0,22.83333333,AliPay,3,144.79,48.26333333,1,0,0,0,0,1,180,0,0,30,4285.14,0,0,0,1,0,0,900,800,0,0,0,2017/9/23 16:00,2017/11/1 16:00,0,0,28.69153935,137,63266.33
166684,1724,206249.39,137,19199.06,140.1391241,3000,0.483758701,0,0,0,0,64.15384615,AliPay,283,18188.84,64.27151943,21.76923077,103,4149.49,40.28631068,0,0,0,89,3120.7,24,6995.89,1,0,0,0,80,8622.63,0,5000,0,0,50,2016/9/30 4:24,2017/9/7 22:47,0,0,114.3148611,834,69500.04
167552,3,9056.8,0,0,0,36.9,0.666666667,0,0,0,0,1,AliPay,2,56.8,28.4,1,0,0,0,0,0,0,0,0,1,9000,0,0,0,0,0,0,0,0,0,0,0,2017/10/30 16:00,2017/11/3 16:00,0,1,58,2,56.8
170226,799,284804.32,99,39579.95,399.7974747,12576,0.600750939,0,0,0,0,32,AliPay,0,0,0,0,0,0,0,0,0,0,2,198.4,5,3465,0,0,0,0,1,3000,46700,0,0,0,20,2012/12/31 16:00,2014/12/31 15:59,0,0,32.43737269,480,109859.77
171363,234,131028.37,0,0,0,5088,0.897435897,20,4636,231.8,0,15,OthersPay,2,98,49,2,0,0,0,2.5,4,940,0,0,14,50733.37,1,2,4000,0,0,0,0,0,0,0,0,2017/6/14 16:00,2017/6/14 16:00,0,0,27,210,56656.35
172939,5,1472.11,0,0,0,881.33,1,0,0,0,0,2.5,AliPay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012/12/31 16:00,2014/12/31 15:59,0,1,78,5,1472.11
176010,1306,1583787.97,108,355051.85,3287.51713,50000,0.485451761,20,5636.96,281.848,0,45.28571429,AliPay,239,57016.75,238.5638075,19.91666667,8,240.27,30.03375,3.333333333,1,100,20,6140.12,87,218235.45,0,0,0,0,17,45339.58,0,0,0,0,22,2016/12/3 16:00,2017/11/27 8:40,1,0,25,634,371815.71
176164,976,733667.18,240,222104.9,925.4370833,5000,0.330942623,1,50,50,0,23.07142857,AliPay,64,15542.16,242.84625,5.818181818,0,0,0,0,0,0,10,519.71,59,60189.37,1,3,1700,0,59,57490.01,0,41700,5,66.45,1,2017/1/12 1:28,2017/11/5 12:59,0,0,29,323,131672.37
176770,17,62953.44,0,0,0,6000,0.529411765,0,0,0,0,1.285714286,OthersPay,0,0,0,0,0,0,0,0,0,0,0,0,8,28476.72,0,0,0,0,0,0,0,0,0,0,0,2012/12/31 16:00,2014/12/31 15:59,0,1,65,9,34476.72
